datetime,description,amount,transaction_type,payment_mode,category
29-01-2024 00:47,Medical Store,2303.0,Debit,UPI - Google Pay,Health
05-02-2024 23:06,Train Ticket,4517.0,Debit,UPI - PhonePe,Transport
18-04-2024 01:01,Spotify Subscription,817.0,Debit,UPI - Google Pay,Entertainment
09-05-2024 19:01,Train Ticket,4647.0,Debit,UPI - Google Pay,Transport
15-06-2024 22:34,College Fees,3486.0,Debit,UPI - Google Pay,Education
30-05-2024 08:51,Internet Bill,103.0,Debit,Cash,Utilities
10-02-2024 22:27,Salary Credit,42298.0,Credit,UPI - Paytm,Income
25-02-2024 10:06,Uber Ride,809.0,Debit,Debit Card,Transport
01-04-2024 11:38,Cafe Coffee Day,2216.0,Debit,Cash,Food
27-04-2024 17:07,Zomato Restaurant,3150.0,Debit,UPI - PhonePe,Food
16-03-2024 20:39,Netflix Subscription,3012.0,Debit,Credit Card,Entertainment
21-01-2024 07:55,Flipkart Order,877.0,Debit,Debit Card,Shopping
26-04-2024 20:53,Amazon Purchase,3038.0,Debit,UPI - Google Pay,Shopping
31-03-2024 06:42,Electronics Store,2237.0,Debit,Net Banking,Shopping
14-06-2024 02:38,Hospital Visit,1451.0,Debit,Credit Card,Health
03-03-2024 05:29,Books Purchase,3158.0,Debit,UPI - Paytm,Education
15-01-2024 07:52,Online Course Fee,312.0,Debit,Cash,Education
12-04-2024 08:04,Myntra Clothing,1778.0,Debit,Credit Card,Shopping
21-03-2024 06:41,College Fees,4139.0,Debit,Debit Card,Education
27-04-2024 04:16,Medical Store,1193.0,Debit,UPI - Google Pay,Health
23-05-2024 17:16,Books Purchase,4838.0,Debit,Debit Card,Education
12-04-2024 11:14,Spotify Subscription,1183.0,Debit,Credit Card,Entertainment
24-01-2024 01:55,Gas Bill,948.0,Debit,UPI - Google Pay,Utilities
10-02-2024 21:27,Medical Store,4935.0,Debit,UPI - PhonePe,Health
07-04-2024 19:29,Electricity Bill,4384.0,Debit,UPI - Paytm,Utilities
03-01-2024 21:46,Netflix Subscription,988.0,Debit,Net Banking,Entertainment
09-03-2024 20:21,Netflix Subscription,963.0,Debit,UPI - Paytm,Entertainment
10-02-2024 14:00,Mobile Recharge,2207.0,Debit,Credit Card,Utilities
15-02-2024 16:58,Online Course Fee,921.0,Debit,Cash,Education
17-03-2024 20:32,Medical Store,1679.0,Debit,UPI - Google Pay,Health
11-02-2024 17:49,Electronics Store,4394.0,Debit,UPI - PhonePe,Shopping
23-03-2024 15:01,Gym Membership,966.0,Debit,UPI - Paytm,Health
19-03-2024 07:03,Freelance Payment,35785.0,Credit,Credit Card,Income
22-01-2024 23:31,Local Restaurant,616.0,Debit,Cash,Food
02-02-2024 04:42,Netflix Subscription,3943.0,Debit,Credit Card,Entertainment
08-03-2024 16:55,Ola Cab,3516.0,Debit,UPI - Google Pay,Transport
25-06-2024 06:45,Netflix Subscription,2603.0,Debit,Debit Card,Entertainment
04-03-2024 07:04,Cafe Coffee Day,2819.0,Debit,UPI - PhonePe,Food
21-05-2024 07:37,Spotify Subscription,1854.0,Debit,UPI - PhonePe,Entertainment
10-06-2024 01:14,Local Restaurant,602.0,Debit,UPI - PhonePe,Food
25-03-2024 02:32,Scholarship Credit,35597.0,Credit,UPI - Paytm,Income
04-05-2024 06:34,Hospital Visit,1133.0,Debit,Net Banking,Health
27-05-2024 15:15,Spotify Subscription,3924.0,Debit,Cash,Entertainment
18-02-2024 03:06,Mobile Recharge,3581.0,Debit,UPI - Paytm,Utilities
15-04-2024 14:55,Mobile Recharge,493.0,Debit,Net Banking,Utilities
14-06-2024 03:03,Medical Store,3348.0,Debit,Net Banking,Health
28-01-2024 07:12,Myntra Clothing,1608.0,Debit,Credit Card,Shopping
05-02-2024 13:11,Internet Bill,2331.0,Debit,Debit Card,Utilities
20-01-2024 14:51,Train Ticket,4558.0,Debit,UPI - PhonePe,Transport
15-06-2024 17:53,Zomato Restaurant,170.0,Debit,UPI - PhonePe,Food
01-03-2024 05:26,Online Course Fee,4028.0,Debit,Debit Card,Education
12-04-2024 01:10,City Bus Ticket,3154.0,Debit,UPI - PhonePe,Transport
08-03-2024 14:18,Electricity Bill,3515.0,Debit,Net Banking,Utilities
